control,scenario,exit_type,requested_face_usd,executed_face_usd,fair_value_per_face,consumer_mark_per_face,nav_gap_bps,nav_evaluation_day,market_value_gap_usd,acquisition_usd,payout_usd,pfc_usd,execution_fees_usd,asset_financing_usd,expected_enforcement_usd,application_fixed_usd,route_cost_usd,coc_usd,net_profit_usd,cost_profit_ratio,profitable_under_assumptions,model_verdict,blocked_reason,evidence_verdict,stake_capital_usd,stake_funding_usd,expected_stake_loss_usd,consensus_coordination_usd,consensus_cost_usd,capital_is_not_expense,capital_required_usd,optimistic_nav_capture_bound_usd,bound_below_consensus_cost,capital_profit_ratio,break_even_face_usd,break_even_reachable_with_caps,exit_capacity_face_usd,finality_status,residual_loss_locus,counterparty_loss_before_fees_usd
credit_lending,B-1,lending,190000000,20000000,0.995,1,50.00000000000004,,950000.0000000008,19905970.0,16000000.0,-3905970.0,6400.0,3272.2142465753423,0.0,100,307667538.08219177,307677310.29643834,-311583280.29643834,,False,closed_under_assumptions,,not_empirically_identified,30259340000.0,4974138.082191781,302593400.0,100000,307667538.08219177,True,30279245970.0,100000.00000000009,True,,,False,20000000,consensus_counterfactual_not_simulated,lender_after_collateral_seizure,0
credit_lending,B-2,lending,20000000,20000000,0.41871921182266014,1.0,5812.807881773399,31,11625615.763546797,8376896.551724139,16000000.0,7623103.448275861,6400.0,1377.0240906943789,190577.58620689655,100,10000,208454.61029759093,7414648.837978271,0.02734511104460188,True,open_under_assumptions,,not_empirically_identified,0,0,0,0,0,True,8376896.551724139,11625615.763546797,,,27206.307500497725,True,20000000,assumed_normal_not_simulated,lender_after_collateral_seizure,7625615.763546798
credit_lending,B-3,lending,20000000,20000000,0.41871921182266014,1.0,5812.807881773399,31,11625615.763546797,8376896.551724139,16000000.0,7623103.448275861,6400.0,1377.0240906943789,190577.58620689655,100,307667538.08219177,307865992.6924894,-300242889.2442135,40.38591300530236,False,closed_under_assumptions,,not_empirically_identified,30259340000.0,4974138.082191781,302593400.0,100000,307667538.08219177,True,30267716896.551723,11625615.763546797,True,3969.425340389922,828762412.8332627,False,20000000,consensus_counterfactual_not_simulated,lender_after_collateral_seizure,7625615.763546798
closed_exit,B-1,lending,190000000,0,0.995,1,50.00000000000004,,950000.0000000008,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,False,blocked_before_attempt,exit_open,not_empirically_identified,30259340000.0,4974138.082191781,302593400.0,100000,307667538.08219177,True,30259340000.0,0.0,True,,,False,20000000,consensus_counterfactual_not_simulated,lender_after_collateral_seizure,0
closed_exit,B-2,redemption,20000000,0,0.41871921182266014,1.0,5812.807881773399,31,11625615.763546797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,False,blocked_before_attempt,exit_open,not_empirically_identified,0,0,0,0,0,True,0.0,0.0,,,17839.560610780307,False,20000000,assumed_normal_not_simulated,redemption_counterparty_mark_loss,0.0
closed_exit,B-3,redemption,20000000,0,0.41871921182266014,1.0,5812.807881773399,31,11625615.763546797,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,False,blocked_before_attempt,exit_open,not_empirically_identified,30259340000.0,4974138.082191781,302593400.0,100000,307667538.08219177,True,30259340000.0,0.0,True,,543431235.4002851,False,20000000,consensus_counterfactual_not_simulated,redemption_counterparty_mark_loss,0.0
nav_fully_updated,B-1,lending,190000000,20000000,0.995,1,50.00000000000004,,950000.0000000008,19905970.0,16000000.0,-3905970.0,6400.0,3272.2142465753423,0.0,100,307667538.08219177,307677310.29643834,-311583280.29643834,,False,closed_under_assumptions,,not_empirically_identified,30259340000.0,4974138.082191781,302593400.0,100000,307667538.08219177,True,30279245970.0,100000.00000000009,True,,,False,20000000,consensus_counterfactual_not_simulated,lender_after_collateral_seizure,0
nav_fully_updated,B-2,redemption,20000000,20000000,0.41871921182266014,0.41871921182266014,0.0,166,0.0,8376896.551724139,8374384.236453203,-2512.3152709361166,3349.753694581281,1377.0240906943789,0.0,100,10000,14826.777785275659,-17339.093056211776,,False,closed_under_assumptions,,not_empirically_identified,0,0,0,0,0,True,8376896.551724139,0.0,,,,False,20000000,assumed_normal_not_simulated,redemption_counterparty_mark_loss,0.0
nav_fully_updated,B-3,redemption,20000000,20000000,0.41871921182266014,0.41871921182266014,0.0,166,0.0,8376896.551724139,8374384.236453203,-2512.3152709361166,3349.753694581281,1377.0240906943789,0.0,100,307667538.08219177,307672364.85997707,-307674877.175248,,False,closed_under_assumptions,,not_empirically_identified,30259340000.0,4974138.082191781,302593400.0,100000,307667538.08219177,True,30267716896.551723,0.0,True,,,False,20000000,consensus_counterfactual_not_simulated,redemption_counterparty_mark_loss,0.0
zero_stake_loss,B-1,lending,190000000,20000000,0.995,1,50.00000000000004,,950000.0000000008,19905970.0,16000000.0,-3905970.0,6400.0,3272.2142465753423,0.0,100,5074138.082191781,5083910.296438357,-8989880.296438357,,False,closed_under_assumptions,,not_empirically_identified,30259340000.0,4974138.082191781,0.0,100000,5074138.082191781,True,30279245970.0,100000.00000000009,True,,,False,20000000,consensus_counterfactual_not_simulated,lender_after_collateral_seizure,0
zero_stake_loss,B-2,redemption,20000000,20000000,0.41871921182266014,1.0,5812.807881773399,31,11625615.763546797,8376896.551724139,20000000.0,11623103.44827586,8000.0,1377.0240906943789,290577.5862068965,100,10000,310054.6102975909,11313048.83797827,0.026675716315988186,True,open_under_assumptions,,not_empirically_identified,0,0,0,0,0,True,8376896.551724139,11625615.763546797,,,17839.560610780307,True,20000000,assumed_normal_not_simulated,redemption_counterparty_mark_loss,11625615.763546797
