action_day,scenario,mark,fair,pfc_usd,coc_usd,net_profit_usd
0,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
0,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
1,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
1,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
2,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
2,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
3,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
3,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
4,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
4,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
5,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
5,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
6,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
6,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
7,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
7,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
8,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
8,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
9,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
9,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
10,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
10,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
11,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
11,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
12,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
12,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
13,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
13,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
14,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
14,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
15,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
15,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
16,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
16,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
17,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
17,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
18,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
18,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
19,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
19,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
20,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
20,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
21,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
21,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
22,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
22,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
23,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
23,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
24,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
24,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
25,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
25,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
26,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
26,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
27,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
27,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
28,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
28,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
29,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
29,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
30,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
30,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
31,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
31,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
32,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
32,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
33,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
33,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
34,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
34,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
35,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
35,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
36,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
36,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
37,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
37,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
38,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
38,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
39,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
39,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
40,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
40,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
41,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
41,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
42,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
42,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
43,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
43,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
44,B-2,1.0,0.41871921182266014,11623103.44827586,310054.6102975909,11313048.83797827
44,B-3,1.0,0.41871921182266014,11623103.44827586,307967592.6924894,-296344489.2442135
45,B-2,0.9951559934318555,0.41871921182266014,11526223.316912968,307593.85496097343,11218629.461951993
45,B-3,0.9951559934318555,0.41871921182266014,11526223.316912968,307965131.93715274,-296438908.6202398
46,B-2,0.990311986863711,0.41871921182266014,11429343.185550082,305133.09962435614,11124210.085925726
46,B-3,0.990311986863711,0.41871921182266014,11429343.185550082,307962671.1818161,-296533327.996266
47,B-2,0.9854679802955665,0.41871921182266014,11332463.05418719,302672.34428773867,11029790.709899452
47,B-3,0.9854679802955665,0.41871921182266014,11332463.05418719,307960210.4264795,-296627747.37229234
48,B-2,0.980623973727422,0.41871921182266014,11235582.9228243,300211.5889511213,10935371.333873179
48,B-3,0.980623973727422,0.41871921182266014,11235582.9228243,307957749.6711429,-296722166.74831855
49,B-2,0.9757799671592775,0.41871921182266014,11138702.791461412,297750.8336145039,10840951.957846908
49,B-3,0.9757799671592775,0.41871921182266014,11138702.791461412,307955288.9158063,-296816586.1243449
50,B-2,0.970935960591133,0.41871921182266014,11041822.66009852,295290.07827788644,10746532.581820633
50,B-3,0.970935960591133,0.41871921182266014,11041822.66009852,307952828.16046965,-296911005.50037116
51,B-2,0.9660919540229885,0.41871921182266014,10944942.52873563,292829.322941269,10652113.20579436
51,B-3,0.9660919540229885,0.41871921182266014,10944942.52873563,307950367.405133,-297005424.8763974
52,B-2,0.961247947454844,0.41871921182266014,10848062.397372741,290368.5676046517,10557693.82976809
52,B-3,0.961247947454844,0.41871921182266014,10848062.397372741,307947906.6497964,-297099844.2524237
53,B-2,0.9564039408866996,0.41871921182266014,10751182.266009852,287907.8122680343,10463274.453741819
53,B-3,0.9564039408866996,0.41871921182266014,10751182.266009852,307945445.8944598,-297194263.6284499
54,B-2,0.951559934318555,0.41871921182266014,10654302.13464696,285447.0569314168,10368855.077715542
54,B-3,0.951559934318555,0.41871921182266014,10654302.13464696,307942985.1391232,-297288683.00447625
55,B-2,0.9467159277504105,0.41871921182266014,10557422.00328407,282986.30159479944,10274435.701689271
55,B-3,0.9467159277504105,0.41871921182266014,10557422.00328407,307940524.38378656,-297383102.38050246
56,B-2,0.941871921182266,0.41871921182266014,10460541.871921182,280525.5462581821,10180016.325663
56,B-3,0.941871921182266,0.41871921182266014,10460541.871921182,307938063.62845,-297477521.7565288
