block,as_of,nav_usd,updated_at,age_hours,status,independent_nav_usd,actual_nav_gap_pct
19560000,2024-04-01T09:10:35+00:00,,,,unavailable,,
19660000,2024-04-15T09:24:11+00:00,,,,unavailable,,
19760000,2024-04-29T09:13:11+00:00,,,,unavailable,,
25861771,2026-08-29T15:21:47+00:00,1.0,2026-08-29T07:38:35+00:00,7.72,observed_issuer_related_feed,,
25868971,2026-08-30T15:25:59+00:00,1.0,2026-08-30T07:39:11+00:00,7.78,observed_issuer_related_feed,,
25876171,2026-08-31T15:30:59+00:00,1.0,2026-08-31T12:23:47+00:00,3.12,observed_issuer_related_feed,,
25883371,2026-09-01T15:36:35+00:00,1.0,2026-09-01T11:38:23+00:00,3.97,observed_issuer_related_feed,,
25890571,2026-09-02T15:41:47+00:00,1.0,2026-09-02T11:38:35+00:00,4.053333333333334,observed_issuer_related_feed,,
25897771,2026-09-03T15:46:59+00:00,1.0,2026-09-03T11:38:47+00:00,4.136666666666667,observed_issuer_related_feed,,
25904971,2026-09-04T15:52:11+00:00,1.0,2026-09-04T11:38:59+00:00,4.22,observed_issuer_related_feed,,
25912171,2026-09-05T15:57:11+00:00,1.0,2026-09-05T11:39:11+00:00,4.3,observed_issuer_related_feed,,
